transaction_id,customer_id,date,description,payee,amount,channel,category,region
C001-T062,C001,2026-05-18T18:46:47,Health purchase at River Pharmacy,River Pharmacy,56.08,card,health,home_region
C001-T051,C001,2026-05-20T08:53:23,Fuel purchase at North Fuel,North Fuel,64.73,card,fuel,home_region
C001-T002,C001,2026-05-20T09:37:27,Groceries purchase at Metro Grocery,Metro Grocery,11.93,card,groceries,home_region
C001-T045,C001,2026-05-20T19:19:39,Groceries purchase at Metro Grocery,Metro Grocery,96.16,online,groceries,home_region
C001-T015,C001,2026-05-30T14:57:37,Fitness purchase at Luma Utilities,Luma Utilities,55.78,card,fitness,nearby_region
C001-T027,C001,2026-05-31T16:14:37,Health purchase at River Pharmacy,River Pharmacy,8.95,online,health,home_region
C002-T001,C002,2026-01-02T20:55:49,Transport purchase at City Transit,City Transit,110.75,card,transport,home_region
C002-T060,C002,2026-01-04T16:26:05,Health purchase at River Pharmacy,River Pharmacy,138.98,card,health,home_region
C002-T038,C002,2026-01-04T17:18:30,Retail purchase at Bright Fitness,Bright Fitness,66.14,card,retail,home_region
C002-T031,C002,2026-01-05T09:18:14,Fitness purchase at Luma Utilities,Luma Utilities,99.32,ach,fitness,nearby_region
C002-T037,C002,2026-01-12T08:35:18,Fuel purchase at North Fuel,North Fuel,92.2,ach,fuel,home_region
C002-T040,C002,2026-01-14T10:09:51,Dining purchase at Cloud Bistro,Cloud Bistro,19.24,card,dining,home_region
C002-T058,C002,2026-01-14T11:17:35,Fuel purchase at North Fuel,North Fuel,130.45,ach,fuel,home_region
C002-T008,C002,2026-01-17T14:26:21,Retail purchase at Bright Fitness,Bright Fitness,62.88,card,retail,home_region
C002-T023,C002,2026-01-18T16:41:21,Groceries purchase at Metro Grocery,Metro Grocery,120.14,ach,groceries,home_region
C002-T017,C002,2026-01-18T20:41:02,Groceries purchase at Metro Grocery,Metro Grocery,133.35,card,groceries,home_region
C002-T048,C002,2026-01-19T08:10:50,Dining purchase at Cloud Bistro,Cloud Bistro,86.55,online,dining,home_region
C002-T046,C002,2026-01-19T18:14:59,Dining purchase at Cloud Bistro,Cloud Bistro,111.99,online,dining,nearby_region
C002-T016,C002,2026-01-21T15:01:47,Groceries purchase at Metro Grocery,Metro Grocery,139.99,ach,groceries,home_region
C002-T043,C002,2026-01-26T20:13:40,Health purchase at River Pharmacy,River Pharmacy,42.93,card,health,home_region
C002-T020,C002,2026-01-28T17:01:59,Dining purchase at Cloud Bistro,Cloud Bistro,84.01,ach,dining,home_region
C002-T061,C002,2026-01-31T18:53:09,Retail purchase at Bright Fitness,Bright Fitness,131.11,ach,retail,nearby_region
C002-T022,C002,2026-01-31T20:36:50,Groceries purchase at Metro Grocery,Metro Grocery,53.83,ach,groceries,home_region
C002-T059,C002,2026-02-01T08:40:38,Health purchase at River Pharmacy,River Pharmacy,101.69,ach,health,nearby_region
C002-T003,C002,2026-02-04T20:29:42,Utilities purchase at Orbit Telecom,Orbit Telecom,133.41,ach,utilities,nearby_region
C002-T018,C002,2026-02-09T11:08:30,Transport purchase at City Transit,City Transit,82.44,card,transport,home_region
C002-T028,C002,2026-02-16T15:13:22,Dining purchase at Cloud Bistro,Cloud Bistro,52.92,online,dining,home_region
C002-T034,C002,2026-02-19T13:07:47,Fuel purchase at North Fuel,North Fuel,33.28,online,fuel,home_region
C002-T021,C002,2026-02-20T09:37:44,Health purchase at River Pharmacy,River Pharmacy,21.45,ach,health,nearby_region
C002-T047,C002,2026-02-20T14:07:34,Health purchase at River Pharmacy,River Pharmacy,93.49,ach,health,home_region
C002-T036,C002,2026-02-28T13:11:19,Groceries purchase at Metro Grocery,Metro Grocery,101.46,card,groceries,home_region
C002-T044,C002,2026-03-03T10:35:04,Fuel purchase at North Fuel,North Fuel,8.35,ach,fuel,nearby_region
C002-T006,C002,2026-03-03T12:28:04,Dining purchase at Cloud Bistro,Cloud Bistro,38.95,ach,dining,home_region
C002-T067,C002,2026-03-03T17:24:14,Fitness purchase at Luma Utilities,Luma Utilities,13.76,online,fitness,home_region
C002-T051,C002,2026-03-06T08:05:14,Groceries purchase at Metro Grocery,Metro Grocery,139.94,online,groceries,home_region
C002-T039,C002,2026-03-06T15:07:52,Transport purchase at City Transit,City Transit,60.89,card,transport,nearby_region
C002-T019,C002,2026-03-07T20:23:10,Transport purchase at City Transit,City Transit,110.67,card,transport,home_region
C002-T026,C002,2026-03-10T13:54:15,Transport purchase at City Transit,City Transit,44.82,ach,transport,home_region
C002-T062,C002,2026-03-11T14:53:30,Retail purchase at Bright Fitness,Bright Fitness,40.17,online,retail,home_region
C002-T035,C002,2026-03-12T19:37:48,Dining purchase at Cloud Bistro,Cloud Bistro,137.43,card,dining,home_region
C002-T053,C002,2026-03-13T10:37:27,Retail purchase at Bright Fitness,Bright Fitness,135.92,ach,retail,home_region
C002-T056,C002,2026-03-24T09:49:25,Groceries purchase at Metro Grocery,Metro Grocery,94.81,online,groceries,home_region
C002-T033,C002,2026-03-26T13:44:29,Dining purchase at Cloud Bistro,Cloud Bistro,48.47,card,dining,home_region
C002-T066,C002,2026-03-27T16:48:34,Fitness purchase at Luma Utilities,Luma Utilities,68.11,ach,fitness,home_region
C002-T015,C002,2026-03-28T20:56:24,Dining purchase at Cloud Bistro,Cloud Bistro,107.27,ach,dining,home_region
C002-T064,C002,2026-03-29T20:32:17,Groceries purchase at Metro Grocery,Metro Grocery,45.33,ach,groceries,nearby_region
C002-T032,C002,2026-04-05T15:35:33,Utilities purchase at Orbit Telecom,Orbit Telecom,64.17,online,utilities,nearby_region
C002-T068,C002,2026-04-08T14:42:50,Fuel purchase at North Fuel,North Fuel,73.38,card,fuel,home_region
C002-T063,C002,2026-04-09T11:58:38,Fuel purchase at North Fuel,North Fuel,122.05,ach,fuel,home_region
C002-T009,C002,2026-04-10T20:37:44,Groceries purchase at Metro Grocery,Metro Grocery,121.09,online,groceries,home_region
C002-T054,C002,2026-04-15T13:20:42,Transport purchase at City Transit,City Transit,121.22,ach,transport,home_region
C002-T057,C002,2026-04-16T08:12:33,Utilities purchase at Orbit Telecom,Orbit Telecom,90.19,ach,utilities,home_region
C002-T024,C002,2026-04-21T13:40:57,Retail purchase at Bright Fitness,Bright Fitness,101.36,ach,retail,home_region
C002-T049,C002,2026-04-23T09:29:44,Dining purchase at Cloud Bistro,Cloud Bistro,100.36,ach,dining,nearby_region
C002-T042,C002,2026-04-24T12:55:37,Fitness purchase at Luma Utilities,Luma Utilities,48.31,online,fitness,home_region
C002-T005,C002,2026-04-26T12:48:15,Dining purchase at Cloud Bistro,Cloud Bistro,109.09,online,dining,home_region
C002-T014,C002,2026-04-29T10:03:16,Fitness purchase at Luma Utilities,Luma Utilities,51.21,ach,fitness,home_region
C002-T027,C002,2026-04-29T17:39:42,Fitness purchase at Luma Utilities,Luma Utilities,52.4,ach,fitness,home_region
C002-T045,C002,2026-05-01T12:02:14,Dining purchase at Cloud Bistro,Cloud Bistro,101.32,online,dining,home_region
C002-T010,C002,2026-05-03T08:22:19,Fitness purchase at Luma Utilities,Luma Utilities,120.66,ach,fitness,nearby_region
C002-T012,C002,2026-05-05T08:24:21,Fitness purchase at Luma Utilities,Luma Utilities,103.59,ach,fitness,home_region
C002-T055,C002,2026-05-07T12:42:25,Groceries purchase at Metro Grocery,Metro Grocery,68.04,ach,groceries,home_region
C002-T069,C002,2026-05-09T17:21:55,Transport purchase at City Transit,City Transit,123.39,ach,transport,home_region
C002-T004,C002,2026-05-10T14:53:58,Retail purchase at Bright Fitness,Bright Fitness,126.43,online,retail,home_region
C002-T002,C002,2026-05-13T15:03:35,Health purchase at River Pharmacy,River Pharmacy,129.11,card,health,home_region
C002-T025,C002,2026-05-14T18:17:39,Retail purchase at Bright Fitness,Bright Fitness,69.36,online,retail,nearby_region
C002-T070,C002,2026-05-15T15:00:46,Fuel purchase at North Fuel,North Fuel,62.12,online,fuel,home_region
C002-T013,C002,2026-05-17T08:58:25,Groceries purchase at Metro Grocery,Metro Grocery,19.08,ach,groceries,home_region
C002-T007,C002,2026-05-19T09:08:09,Health purchase at River Pharmacy,River Pharmacy,58.56,card,health,home_region
C002-T050,C002,2026-05-19T15:28:05,Groceries purchase at Metro Grocery,Metro Grocery,125.4,online,groceries,home_region
C002-T011,C002,2026-05-20T20:38:57,Health purchase at River Pharmacy,River Pharmacy,72.45,ach,health,home_region
C002-T029,C002,2026-05-23T08:33:12,Transport purchase at City Transit,City Transit,39.86,ach,transport,home_region
C002-T030,C002,2026-05-23T20:15:44,Retail purchase at Bright Fitness,Bright Fitness,93.26,ach,retail,home_region
C002-T041,C002,2026-05-23T20:26:38,Health purchase at River Pharmacy,River Pharmacy,110.39,ach,health,home_region
C002-T052,C002,2026-05-28T08:48:48,Fuel purchase at North Fuel,North Fuel,70.11,online,fuel,home_region
C002-T065,C002,2026-05-29T18:31:55,Fuel purchase at North Fuel,North Fuel,66.94,ach,fuel,home_region
C003-T032,C003,2026-01-01T12:54:09,Fuel purchase at North Fuel,North Fuel,79.31,card,fuel,home_region
C003-T033,C003,2026-01-07T10:00:22,Health purchase at River Pharmacy,River Pharmacy,85.73,card,health,home_region
C003-T005,C003,2026-01-08T08:20:50,Groceries purchase at Metro Grocery,Metro Grocery,46.72,ach,groceries,home_region
C003-T036,C003,2026-01-12T19:50:58,Dining purchase at Cloud Bistro,Cloud Bistro,68.46,card,dining,home_region
C003-T045,C003,2026-01-14T12:38:19,Utilities purchase at Orbit Telecom,Orbit Telecom,21.68,online,utilities,home_region
C003-T069,C003,2026-01-15T13:53:18,Transport purchase at City Transit,City Transit,93.1,card,transport,nearby_region
C003-T058,C003,2026-01-19T14:55:47,Groceries purchase at Metro Grocery,Metro Grocery,65.58,ach,groceries,home_region
C003-T001,C003,2026-01-20T15:50:16,Utilities purchase at Orbit Telecom,Orbit Telecom,90.27,ach,utilities,home_region
C003-T038,C003,2026-01-21T13:38:09,Transport purchase at City Transit,City Transit,24.66,online,transport,nearby_region
C003-T052,C003,2026-01-22T08:09:10,Groceries purchase at Metro Grocery,Metro Grocery,96.96,ach,groceries,home_region
C003-T004,C003,2026-01-24T14:06:48,Transport purchase at City Transit,City Transit,66.57,online,transport,home_region
C003-T040,C003,2026-01-26T20:44:07,Health purchase at River Pharmacy,River Pharmacy,64.77,card,health,home_region
C003-T021,C003,2026-01-28T18:14:30,Groceries purchase at Metro Grocery,Metro Grocery,89.78,online,groceries,home_region
C003-T023,C003,2026-01-30T10:02:02,Dining purchase at Cloud Bistro,Cloud Bistro,139.46,card,dining,home_region
C003-T060,C003,2026-01-30T14:01:20,Fuel purchase at North Fuel,North Fuel,113.77,online,fuel,home_region
C003-T047,C003,2026-01-30T20:17:36,Health purchase at River Pharmacy,River Pharmacy,114.55,online,health,nearby_region
C003-T030,C003,2026-02-02T20:36:13,Transport purchase at City Transit,City Transit,117.54,online,transport,home_region
C003-T057,C003,2026-02-03T14:34:45,Health purchase at River Pharmacy,River Pharmacy,74.03,online,health,home_region
C003-T050,C003,2026-02-06T19:40:01,Transport purchase at City Transit,City Transit,106.49,card,transport,home_region
C003-T006,C003,2026-02-07T11:33:26,Fuel purchase at North Fuel,North Fuel,30.44,card,fuel,nearby_region
C003-T046,C003,2026-02-09T18:30:14,Transport purchase at City Transit,City Transit,54.22,online,transport,home_region
C003-T063,C003,2026-02-13T09:32:40,Transport purchase at City Transit,City Transit,78.04,card,transport,home_region
C003-T065,C003,2026-02-20T10:38:09,Transport purchase at City Transit,City Transit,31.38,online,transport,home_region
C003-T029,C003,2026-02-24T18:40:38,Groceries purchase at Metro Grocery,Metro Grocery,14.68,ach,groceries,home_region
C003-T055,C003,2026-02-26T14:38:03,Groceries purchase at Metro Grocery,Metro Grocery,34.98,card,groceries,home_region
C003-T022,C003,2026-02-26T18:04:40,Retail purchase at Bright Fitness,Bright Fitness,128.04,ach,retail,home_region
C003-T011,C003,2026-03-02T14:36:22,Dining purchase at Cloud Bistro,Cloud Bistro,139.04,ach,dining,home_region
C003-T024,C003,2026-03-02T16:08:24,Retail purchase at Bright Fitness,Bright Fitness,56.97,online,retail,nearby_region
C003-T010,C003,2026-03-06T15:54:19,Health purchase at River Pharmacy,River Pharmacy,139.92,ach,health,home_region
C003-T014,C003,2026-03-06T18:48:46,Fuel purchase at North Fuel,North Fuel,90.93,online,fuel,home_region
C003-T056,C003,2026-03-07T12:20:07,Groceries purchase at Metro Grocery,Metro Grocery,73.65,ach,groceries,home_region
C003-T034,C003,2026-03-09T08:08:47,Fitness purchase at Luma Utilities,Luma Utilities,77.44,online,fitness,home_region
C003-T068,C003,2026-03-12T17:03:22,Transport purchase at City Transit,City Transit,48.97,ach,transport,home_region
C003-T013,C003,2026-03-15T20:51:14,Utilities purchase at Orbit Telecom,Orbit Telecom,36.91,card,utilities,nearby_region
C003-T015,C003,2026-03-21T20:28:02,Utilities purchase at Orbit Telecom,Orbit Telecom,104.67,card,utilities,home_region
C003-T059,C003,2026-03-22T17:27:36,Fitness purchase at Luma Utilities,Luma Utilities,101.65,ach,fitness,home_region
C003-T067,C003,2026-03-24T18:20:09,Retail purchase at Bright Fitness,Bright Fitness,17.01,ach,retail,home_region
C003-T016,C003,2026-03-25T19:26:11,Health purchase at River Pharmacy,River Pharmacy,25.45,online,health,home_region
C003-T002,C003,2026-03-26T18:54:34,Fitness purchase at Luma Utilities,Luma Utilities,133.95,online,fitness,home_region
C003-T049,C003,2026-03-28T13:00:11,Fuel purchase at North Fuel,North Fuel,82.75,ach,fuel,home_region
C003-T041,C003,2026-03-28T15:25:26,Transport purchase at City Transit,City Transit,49.26,ach,transport,home_region
C003-T018,C003,2026-03-28T20:07:29,Transport purchase at City Transit,City Transit,26.58,card,transport,home_region
C003-T054,C003,2026-03-30T14:07:18,Retail purchase at Bright Fitness,Bright Fitness,77.56,ach,retail,home_region
C003-T064,C003,2026-03-31T19:52:41,Fuel purchase at North Fuel,North Fuel,39.19,card,fuel,home_region
C003-T028,C003,2026-04-02T08:25:17,Health purchase at River Pharmacy,River Pharmacy,135.8,ach,health,home_region
C003-T061,C003,2026-04-03T09:27:54,Transport purchase at City Transit,City Transit,40.12,online,transport,home_region
C003-T042,C003,2026-04-06T10:43:59,Retail purchase at Bright Fitness,Bright Fitness,16.86,card,retail,home_region
C003-T007,C003,2026-04-08T17:43:15,Retail purchase at Bright Fitness,Bright Fitness,128.49,card,retail,home_region
C003-T012,C003,2026-04-12T12:00:36,Groceries purchase at Metro Grocery,Metro Grocery,128.2,online,groceries,home_region
C003-T051,C003,2026-04-18T15:21:10,Utilities purchase at Orbit Telecom,Orbit Telecom,49.14,ach,utilities,nearby_region
C003-T025,C003,2026-04-18T17:47:46,Fuel purchase at North Fuel,North Fuel,124.87,online,fuel,home_region
C003-T053,C003,2026-04-19T15:38:28,Fitness purchase at Luma Utilities,Luma Utilities,44.06,online,fitness,home_region
C003-T043,C003,2026-04-21T09:47:47,Utilities purchase at Orbit Telecom,Orbit Telecom,115.15,online,utilities,home_region
C003-T027,C003,2026-04-24T11:54:23,Transport purchase at City Transit,City Transit,137.48,ach,transport,nearby_region
C003-T020,C003,2026-04-27T13:43:47,Dining purchase at Cloud Bistro,Cloud Bistro,85.16,online,dining,home_region
C003-T008,C003,2026-04-29T18:16:29,Dining purchase at Cloud Bistro,Cloud Bistro,96.02,ach,dining,home_region
C003-T066,C003,2026-04-29T20:36:48,Retail purchase at Bright Fitness,Bright Fitness,97.91,online,retail,nearby_region
C003-T035,C003,2026-05-02T15:49:23,Transport purchase at City Transit,City Transit,67.66,card,transport,nearby_region
C003-T037,C003,2026-05-03T14:27:43,Transport purchase at City Transit,City Transit,72.72,ach,transport,home_region
C003-T026,C003,2026-05-06T17:26:17,Groceries purchase at Metro Grocery,Metro Grocery,99.12,card,groceries,home_region
C003-T070,C003,2026-05-10T14:29:37,Groceries purchase at Metro Grocery,Metro Grocery,67.36,online,groceries,home_region
C003-T062,C003,2026-05-15T09:25:55,Dining purchase at Cloud Bistro,Cloud Bistro,106.45,card,dining,home_region
C003-T017,C003,2026-05-16T16:58:17,Fuel purchase at North Fuel,North Fuel,41.92,ach,fuel,home_region
C003-T003,C003,2026-05-19T08:39:04,Health purchase at River Pharmacy,River Pharmacy,91.31,ach,health,home_region
C003-T009,C003,2026-05-20T10:04:28,Utilities purchase at Orbit Telecom,Orbit Telecom,138.37,ach,utilities,home_region
C003-T039,C003,2026-05-21T19:20:24,Dining purchase at Cloud Bistro,Cloud Bistro,67.89,online,dining,home_region
C003-T048,C003,2026-05-23T08:38:59,Dining purchase at Cloud Bistro,Cloud Bistro,11.82,ach,dining,home_region
C003-T019,C003,2026-05-23T13:05:50,Fitness purchase at Luma Utilities,Luma Utilities,9.84,online,fitness,home_region
C003-T071,C003,2026-05-30T14:15:00,One-time escrow transfer,Summit Escrow Services,2400.0,ach,housing,home_region
C003-T031,C003,2026-05-31T11:52:55,Health purchase at River Pharmacy,River Pharmacy,51.37,card,health,nearby_region
C003-T044,C003,2026-05-31T16:35:21,Transport purchase at City Transit,City Transit,62.23,online,transport,home_region
C004-T052,C004,2026-01-07T13:35:36,Utilities purchase at Orbit Telecom,Orbit Telecom,69.7,online,utilities,home_region
C004-T025,C004,2026-01-17T09:53:57,Retail purchase at Bright Fitness,Bright Fitness,86.77,card,retail,nearby_region
C004-T005,C004,2026-01-17T13:06:35,Fitness purchase at Luma Utilities,Luma Utilities,45.51,online,fitness,nearby_region
C004-T054,C004,2026-01-19T10:20:41,Transport purchase at City Transit,City Transit,67.4,online,transport,nearby_region
C004-T020,C004,2026-01-21T13:14:01,Utilities purchase at Orbit Telecom,Orbit Telecom,130.87,online,utilities,home_region
C004-T038,C004,2026-01-22T19:27:05,Fitness purchase at Luma Utilities,Luma Utilities,87.52,card,fitness,nearby_region
C004-T053,C004,2026-01-23T09:19:25,Retail purchase at Bright Fitness,Bright Fitness,77.39,ach,retail,nearby_region
C004-T049,C004,2026-01-23T20:43:54,Utilities purchase at Orbit Telecom,Orbit Telecom,96.15,online,utilities,home_region
C004-T047,C004,2026-01-31T12:49:16,Retail purchase at Bright Fitness,Bright Fitness,36.32,online,retail,home_region
C004-T036,C004,2026-02-01T20:23:27,Fitness purchase at Luma Utilities,Luma Utilities,106.12,ach,fitness,home_region
C004-T008,C004,2026-02-02T18:44:53,Transport purchase at City Transit,City Transit,93.28,ach,transport,nearby_region
C004-T007,C004,2026-02-03T17:45:05,Dining purchase at Cloud Bistro,Cloud Bistro,81.78,online,dining,home_region
C004-T031,C004,2026-02-04T08:22:34,Utilities purchase at Orbit Telecom,Orbit Telecom,115.38,card,utilities,home_region
C004-T021,C004,2026-02-07T10:02:18,Retail purchase at Bright Fitness,Bright Fitness,99.88,card,retail,home_region
C004-T006,C004,2026-02-08T13:05:37,Fuel purchase at North Fuel,North Fuel,129.01,ach,fuel,home_region
C004-T059,C004,2026-02-13T17:37:09,Fuel purchase at North Fuel,North Fuel,94.95,online,fuel,nearby_region
C004-T037,C004,2026-02-17T15:44:31,Utilities purchase at Orbit Telecom,Orbit Telecom,130.01,online,utilities,home_region
C004-T010,C004,2026-02-19T11:08:09,Transport purchase at City Transit,City Transit,47.04,card,transport,nearby_region
C004-T057,C004,2026-02-27T13:33:57,Dining purchase at Cloud Bistro,Cloud Bistro,119.66,ach,dining,home_region
C004-T014,C004,2026-03-01T16:15:19,Retail purchase at Bright Fitness,Bright Fitness,127.32,card,retail,home_region
C004-T070,C004,2026-03-03T11:37:22,Groceries purchase at Metro Grocery,Metro Grocery,14.67,ach,groceries,nearby_region
C004-T066,C004,2026-03-03T15:07:17,Retail purchase at Bright Fitness,Bright Fitness,40.73,card,retail,home_region
C004-T027,C004,2026-03-03T17:26:11,Transport purchase at City Transit,City Transit,77.1,ach,transport,home_region
C004-T030,C004,2026-03-03T19:42:40,Transport purchase at City Transit,City Transit,109.84,online,transport,home_region
C004-T061,C004,2026-03-09T18:13:49,Fitness purchase at Luma Utilities,Luma Utilities,89.59,card,fitness,home_region
C004-T046,C004,2026-03-13T11:07:01,Fuel purchase at North Fuel,North Fuel,73.87,ach,fuel,nearby_region
C004-T035,C004,2026-03-15T13:55:49,Groceries purchase at Metro Grocery,Metro Grocery,122.29,ach,groceries,home_region
